Column1,oldspec,Abundance,SurveyUnits,SurveyType,SurveyYear,SurveyID,SiteName,Site,TruePlot,SiteCode,FireFreq,ConcatenatedPlot,Plot,ConcatPlot2,FireEvents,FirePeriod,FireStart,FireLast,FireType,FireSeason,GenusSpecies,genus,species,Family,symb,Fire Frequency Category
5261,Amphicarpaea bracteata,0.625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
4492,Amphicarpaea bracteata,2.982143,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
4512,Amphicarpaea bracteata,2.09375,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
1941,Amphicarpaea bracteata,0.7083333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Amphicarpaea bracteata,Amphicarpaea,bracteata,Leguminosae,nfix,Medium
1841,Andropogon,2,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Andropogon NA,Andropogon,NA,Poaceae,am,Medium
5851,Andropogon,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Andropogon NA,Andropogon,NA,Poaceae,am,Unburnt
34510,Andropogon gerardii,1.5,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,High
2731,Andropogon gerardii,1.53125,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
8812,Andropogon gerardii,5.888889,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
5541,Andropogon gerardii,0.4583333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
4402,Andropogon gerardii,2.694444,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
2511,Andropogon gerardii,2.166666667,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
2471,Andropogon gerardii,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1989,2007,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
1671,Andropogon gerardii,7.602273,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Medium
6021,Andropogon gerardii,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Andropogon gerardii,Andropogon,gerardii,Poaceae,am,Unburnt
37911,Andropogon virginicus,4.416667,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,High
32011,Andropogon virginicus,32.375,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
1301,Andropogon virginicus,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
5481,Andropogon virginicus,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
4791,Andropogon virginicus,2.28125,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
6410,Andropogon virginicus,1.958333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
1681,Andropogon virginicus,2.854167,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Medium
6081,Andropogon virginicus,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Andropogon virginicus,Andropogon,virginicus,Poaceae,am,Unburnt
33010,Antennaria parlinii,6.071429,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,High
2861,Antennaria parlinii,6.583333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
1181,Antennaria parlinii,4.28125,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
5141,Antennaria parlinii,4.513889,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
4151,Antennaria parlinii,6.484375,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
4101,Antennaria parlinii,4.596153846,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
2431,Antennaria parlinii,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1989,2007,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
1751,Antennaria parlinii,7.347222,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Medium
5891,Antennaria parlinii,1.6875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Antennaria parlinii,Antennaria,parlinii,Compositae,am,Unburnt
39811,Asclepias verticillata,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Asclepias verticillata,Asclepias,verticillata,Apocynaceae,am,High
4841,Asplenium platyneuron,0.9375,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Asplenium platyneuron,Asplenium,platyneuron,Aspleniaceae,am,Medium
5521,Asteraceae,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Asteraceae NA,Asteraceae,NA,Asteraceae,am,Medium
4111,Asteraceae,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Asteraceae NA,Asteraceae,NA,Asteraceae,am,Medium
2272,Asteraceae,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Asteraceae NA,Asteraceae,NA,Asteraceae,am,Medium
38211,Avena,0.90625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,High
29211,Avena,1.8125,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
1053,Avena,0.5625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
5221,Avena,1.517857,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
4271,Avena,0.6666667,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
1513,Avena,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,7,S,0.1052632,7S-0.1052632,7S-0.1052632,7-0.1052632,2,19,1996,2005,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
1552,Avena,4.75,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Avena NA,Avena,NA,Poaceae,am,Medium
5791,Avena,0.4583333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Avena NA,Avena,NA,Poaceae,am,Unburnt
38311,Baptisia bracteata,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Baptisia bracteata,Baptisia,bracteata,Leguminosae,nfix,High
1341,Baptisia bracteata,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Baptisia bracteata,Baptisia,bracteata,Leguminosae,nfix,Medium
4651,Baptisia bracteata,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,6,S,0.2105263,6S-0.2105263,6S-0.2105263,6-0.2105263,4,19,1993,2008,P,FEB-MAR,Baptisia bracteata,Baptisia,bracteata,Leguminosae,nfix,Medium
32810,Boechera canadensis,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Boechera canadensis,Boechera,canadensis,Brassicaceae,am,Medium
2152,Boechera canadensis,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Boechera canadensis,Boechera,canadensis,Brassicaceae,am,Medium
5501,Bouteloua curtipendula,0.25,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Bouteloua curtipendula,Bouteloua,curtipendula,Poaceae,am,Medium
2322,Bouteloua curtipendula,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Bouteloua curtipendula,Bouteloua,curtipendula,Poaceae,am,Medium
35210,Bromus,2.625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Bromus NA,Bromus,NA,Poaceae,am,High
2631,Bromus,5.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Bromus NA,Bromus,NA,Poaceae,am,Medium
7612,Bromus,2.017857,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Bromus NA,Bromus,NA,Poaceae,am,Medium
5021,Bromus,1.458333,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Bromus NA,Bromus,NA,Poaceae,am,Medium
1971,Bromus,2,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,10,S,0.3157895,10S-0.3157895,10S-0.3157895,10-0.3157895,6,19,1992,2005,P,FEB-MAR,Bromus NA,Bromus,NA,Poaceae,am,Medium
5801,Bromus,0.90625,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,13,S,0,13S-0,13S-0,13-0,0,0,NA,NA,UB,CONT,Bromus NA,Bromus,NA,Poaceae,am,Unburnt
4851,Campsis radicans,0.875,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,4,S,0.3684211,4S-0.3684211,4S-0.3684211,4-0.3684211,7,19,1992,2008,P,FEB-MAR,Campsis radicans,Campsis,radicans,Bignoniaceae,am,Medium
35310,Carex,1,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,1,S,0.5263158,1S-0.5263158,1S-0.5263158,1-0.5263158,10,19,1989,2007,P,FEB-MAR,Carex NA,Carex,NA,Cyperaceae,am,High
2641,Carex,0.5263158,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,2,S,0.2631579,2S-0.2631579,2S-0.2631579,2-0.2631579,5,19,1992,2007,P,FEB-MAR,Carex NA,Carex,NA,Cyperaceae,am,Medium
7712,Carex,1.03125,percent,Percent cover,2008,90,"Okmulgee, OK, USA",Okmulgee,3,S,0.2105263,3S-0.2105263,3S-0.2105263,3-0.2105263,4,19,1991,2005,P,FEB-MAR,Carex NA,Carex,NA,Cyperaceae,am,Medium
4474,Baccharis megapotamica,0.025,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Baccharis megapotamica,Baccharis,megapotamica,Compositae,am,Unburnt
4484,Nassella clarazii,7.575,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Nassella clarazii,Nassella,clarazii,Poaceae,am,Unburnt
4494,Stipa ichu,1.975,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Stipa ichu,Stipa,ichu,Poaceae,am,Unburnt
4504,Nassella tenuissima,0.75,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Nassella tenuissima,Nassella,tenuissima,Poaceae,am,Unburnt
4517,Stipa speciosa,0.75,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Stipa speciosa,Stipa,speciosa,Poaceae,am,Unburnt
4524,Piptochaetium napostaense,0.175,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Piptochaetium napostaense,Piptochaetium,napostaense,Poaceae,am,Unburnt
4534,Poa ligularis,0.15,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Poa ligularis,Poa,ligularis,Poaceae,am,Unburnt
4544,Poa lanuginosa,0.05,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Poa lanuginosa,Poa,lanuginosa,Poaceae,am,Unburnt
4554,Condalia microphylla,49.8,percent,Percent cover,NA,67,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0,1AA-0,1AA-0,1-0,NA,0,NA,NA,UB,CONT,Condalia microphylla,Condalia,microphylla,Rhamnaceae,am,Unburnt
1106,Prosopis caldenia,3.5,percent,Percent cover,NA,67,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1666667,1AA-0.1666667,1AA-0.1666667,1-0.1666667,3,18,1991,2007,P,MAR-JUN,Prosopis caldenia,Prosopis,caldenia,Leguminosae,nfix,Medium
2106,Condalia microphylla,1.35,percent,Percent cover,NA,67,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1666667,1AA-0.1666667,1AA-0.1666667,1-0.1666667,3,18,1991,2007,P,MAR-JUN,Condalia microphylla,Condalia,microphylla,Rhamnaceae,am,Medium
31000,Acantholippia seriphioides,5.8,percent,Percent cover,NA,67,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1666667,1AA-0.1666667,1AA-0.1666667,1-0.1666667,3,18,1991,2007,P,MAR-JUN,Acantholippia seriphioides,Acantholippia,seriphioides,Verbenaceae,am,Medium
34012,Baccharis gilliesii,0.025,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,6,AA,0.2941176,6AA-0.2941176,6AA-0.2941176,6-0.2941176,5,17,1991,2007,P,MAR-JUN,Baccharis gilliesii,Baccharis,gilliesii,Compositae,am,High
975,Poa ligularis,9.05,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1764706,1AA-0.1764706,1AA-0.1764706,1-0.1764706,3,17,1991,2007,P,MAR-JUN,Poa ligularis,Poa,ligularis,Poaceae,am,Medium
985,Stipa speciosa,4.175,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1764706,1AA-0.1764706,1AA-0.1764706,1-0.1764706,3,17,1991,2007,P,MAR-JUN,Stipa speciosa,Stipa,speciosa,Poaceae,am,Medium
995,Piptochaetium napostaense,3.85,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1764706,1AA-0.1764706,1AA-0.1764706,1-0.1764706,3,17,1991,2007,P,MAR-JUN,Piptochaetium napostaense,Piptochaetium,napostaense,Poaceae,am,Medium
1005,Poa lanuginosa,2.275,percent,Percent cover,NA,69,"La Pampa Grasslands, Caldenal, Argentina",LaPampa,1,AA,0.1764706,1AA-0.1764706,1AA-0.1764706,1-0.1764706,3,17,1991,2007,P,MAR-JUN,Poa lanuginosa,Poa,lanuginosa,Poaceae,am,Medium
