Species,Abundance,SurveyUnits,SurveyType,FireCat,FireFreq,FireEvents,FirePeriod,FireStart,FireLast,FireType,SurveyYear,SiteID,SurveyID,SiteName
ACER NEGUNDO,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
ACER NEGUNDO,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
ACER NEGUNDO,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
ACER NEGUNDO,0,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
ACER NEGUNDO,0,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
ACER RUBRUM,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
ACER RUBRUM,0.333333333,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
ACER RUBRUM,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
ACER RUBRUM,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
ACER RUBRUM,2.343176308,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
ACER RUBRUM,0.180684411,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
ACER RUBRUM,0.006931658,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
ACER RUBRUM,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
ACER RUBRUM,138.6666663,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
ACER RUBRUM,18.66666662,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
ACER RUBRUM,0.410256409,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
ACER RUBRUM,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
ACER RUBRUM,54.66666667,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
ACER RUBRUM,16.25,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
ACER RUBRUM,0.5,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
ACER RUBRUM,10.83333333,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
ACER RUBRUM,8.666666667,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
ACER RUBRUM,5.5,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
ACER RUBRUM,0,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
ACER RUBRUM,1.666666667,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
ACER SACCHARUM,0,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
ACER SACCHARUM,0.333333333,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0.3125,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
ACHILLEA MILLEFOLIUM,0,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
AGROPYRON REPENS,0.1875,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
AGROPYRON REPENS,3.5,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0.0625,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
AGROSTIS SCABRA,0.5,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,0,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,3.3125,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA ARTEMISIIFOLIA,13,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,stems ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,47,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Shrub spp,0,0,0,,,,UB,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Shrub spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Shrub spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0,count per 75.36 m2,Shrub spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,49,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,0.666666667,count per 12 m2,Understory vascular spp,0,0,0,,,,UB,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,5.25,count per 12 m2,Understory vascular spp,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,12.4375,count per 12 m2,Understory vascular spp,2,0.401287707,14.4375,36.5,1973.5,2005.875,P,2010,12,50,"Cedar Creek, MN, USA "
AMBROSIA CORONOPIFOLIA,11.5,count per 12 m2,Understory vascular spp,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,50,"Cedar Creek, MN, USA "
AMELANCHIER,0,count per 75.36 m2,Midstory,0,0,0,NA,NA,NA,UB,2010,12,48,"Cedar Creek, MN, USA "
AMELANCHIER,0.333333333,count per 75.36 m2,Midstory,1,0.106349206,2.333333333,20.66666667,1989.333333,2002,P,2010,12,48,"Cedar Creek, MN, USA "
AMELANCHIER,0,count per 75.36 m2,Midstory,2,0.324607258,11.33333333,36.33333333,1973.666667,2003.111111,P,2010,12,48,"Cedar Creek, MN, USA "
AMELANCHIER,0,count per 75.36 m2,Midstory,3,0.8,36,45,1965,2010,P,2010,12,48,"Cedar Creek, MN, USA "
AMELANCHIER,0.372167901,BA m2 ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,46,"Cedar Creek, MN, USA "
AMELANCHIER,0.083238787,BA m2 ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,46,"Cedar Creek, MN, USA "
AMELANCHIER,0,BA m2 ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,46,"Cedar Creek, MN, USA "
AMELANCHIER,0,BA m2 ha-1,Overstory,3,0.779244829,26.83333333,34.5,1975.5,2009.833333,P,2010,12,46,"Cedar Creek, MN, USA "
AMELANCHIER,79.99999981,stems ha-1,Overstory,0,0,0,NA,NA,NA,UB,2010,12,47,"Cedar Creek, MN, USA "
AMELANCHIER,15.99999996,stems ha-1,Overstory,1,0.09063147,2,21.25,1988.75,1998.25,P,2010,12,47,"Cedar Creek, MN, USA "
AMELANCHIER,0,stems ha-1,Overstory,2,0.384068256,12.84615385,34.61538462,1975.384615,2005.076923,P,2010,12,47,"Cedar Creek, MN, USA "
